"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,7,2,8,13,8,5,5,7,8,16,13,2,5,4,4,3,6,3,2,18,1,0,3,2,3,5,0,0,3,1,0,2,3,4,2,1,2,1,2,2,4,0,1,1
"2",7,0,7,31,48,32,28,5,8,18,47,23,9,17,4,8,3,26,6,6,42,7,3,4,6,9,25,1,5,8,4,1,3,3,11,4,8,1,4,7,10,13,4,4,4
"3",2,7,0,14,24,10,12,3,7,13,16,9,6,6,6,3,3,8,6,6,22,1,1,9,2,4,9,1,4,4,1,1,0,2,4,2,4,4,4,2,0,3,0,5,0
"4",8,31,14,0,119,74,60,22,23,65,117,76,29,38,36,24,13,103,30,24,175,19,7,27,20,29,58,10,15,17,16,19,10,13,52,14,23,9,13,24,19,41,3,19,13
"5",13,48,24,119,0,195,167,36,47,91,290,109,102,87,69,29,28,166,51,61,250,34,29,73,25,58,112,25,35,42,37,13,27,20,48,25,68,20,28,57,41,72,10,43,22
"6",8,32,10,74,195,0,123,22,29,65,175,84,62,52,59,29,27,123,26,38,144,29,17,40,19,39,78,19,23,29,25,15,6,17,37,17,43,19,23,46,36,57,11,26,18
"7",5,28,12,60,167,123,0,13,14,56,159,69,59,58,47,16,14,108,28,43,157,15,19,34,17,42,83,19,32,30,25,12,8,25,42,15,43,11,18,38,28,49,13,37,11
"8",5,5,3,22,36,22,13,0,13,20,32,25,6,6,14,6,4,31,12,7,48,7,3,7,3,9,15,1,3,4,9,4,2,5,9,3,9,4,5,8,4,10,0,5,3
"9",7,8,7,23,47,29,14,13,0,20,33,39,13,15,11,18,6,31,15,5,60,6,3,28,7,11,16,4,6,5,4,5,6,7,15,8,10,6,5,9,10,17,2,6,6
"10",8,18,13,65,91,65,56,20,20,0,120,134,31,32,54,20,17,135,18,19,181,17,14,24,15,25,70,9,22,15,31,22,11,17,67,12,31,9,9,22,23,62,3,17,21
"11",16,47,16,117,290,175,159,32,33,120,0,153,89,77,93,31,39,173,47,58,259,31,22,60,27,55,127,29,36,50,47,16,23,24,93,20,66,23,33,58,37,104,7,32,25
"12",13,23,9,76,109,84,69,25,39,134,153,0,42,52,86,55,16,274,24,26,360,28,23,31,21,56,122,12,18,38,50,34,13,22,124,19,40,22,14,52,33,71,4,29,48
"13",2,9,6,29,102,62,59,6,13,31,89,42,0,47,39,10,16,56,11,43,97,12,13,18,11,27,63,13,20,28,12,6,4,7,18,3,32,8,13,22,20,33,6,16,11
