"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,1,2,5,2,6,4,4,3,4,3,3,2,2,2,1,0,5,2,1,9,1,0,2,0,0,4,0,0,1,0,1,0,1,0,1,1,1,0,1,2,2,0,2,2
"2",1,0,2,6,10,7,2,4,3,7,12,8,5,1,4,2,3,4,5,2,27,3,2,3,2,4,8,0,3,1,4,2,5,3,7,3,0,5,1,5,1,9,1,0,3
"3",2,2,0,1,4,2,1,3,2,2,3,4,1,0,0,0,1,4,2,0,9,1,0,2,0,2,2,0,1,0,1,0,0,0,1,1,1,0,0,0,3,0,0,0,0
"4",5,6,1,0,27,19,17,7,7,25,34,26,5,12,8,3,1,21,6,7,59,2,1,7,3,5,15,4,6,5,6,3,4,2,10,5,1,5,3,11,8,13,2,10,8
"5",2,10,4,27,0,42,41,6,14,35,58,27,20,25,19,8,5,26,17,13,113,18,7,13,5,16,24,7,16,9,8,10,7,7,19,7,12,3,8,12,13,21,5,9,7
"6",6,7,2,19,42,0,35,6,2,21,43,17,14,21,13,5,5,23,9,17,57,6,6,10,5,12,31,7,8,10,4,6,3,5,8,4,5,2,7,12,11,22,3,8,8
"7",4,2,1,17,41,35,0,3,4,15,34,20,19,15,15,4,3,23,11,9,69,7,4,11,1,14,24,3,5,5,5,6,6,8,12,2,6,2,3,8,8,12,2,7,7
"8",4,4,3,7,6,6,3,0,3,4,9,9,3,3,3,4,1,5,3,1,17,1,0,2,0,5,7,1,1,1,2,2,2,2,5,2,0,3,2,2,2,5,2,3,4
"9",3,3,2,7,14,2,4,3,0,4,15,7,2,3,3,2,2,10,4,1,22,4,2,3,0,4,8,0,2,3,6,5,2,0,10,1,3,1,1,2,3,5,1,0,0
"10",4,7,2,25,35,21,15,4,4,0,31,42,7,11,16,1,6,31,7,7,90,9,2,3,4,19,22,3,12,6,8,5,2,7,19,4,4,2,8,17,10,19,6,8,8
"11",3,12,3,34,58,43,34,9,15,31,0,39,30,17,28,16,6,40,13,15,99,16,6,11,3,15,34,7,13,8,14,10,10,5,27,5,8,4,9,16,12,28,5,12,8
"12",3,8,4,26,27,17,20,9,7,42,39,0,14,16,21,9,7,64,12,10,128,6,1,8,4,25,22,3,7,10,14,14,3,7,36,6,11,4,6,16,8,37,3,11,12
"13",2,5,1,5,20,14,19,3,2,7,30,14,0,13,12,1,4,12,3,15,57,4,2,5,4,9,18,6,9,4,8,4,3,1,9,2,4,2,5,13,10,11,1,6,2
"14",2,1,0,12,25,21,15,3,3,11,17,16,13,0,9,2,4,17,4,15,62,6,5,8,2,7,21,8,16,12,3,10,4,4,15,6,8,4,4,9,14,12,5,8,4
"15",2,4,0,8,19,13,15,3,3,16,28,21,12,9,0,5,3,31,2,9,54,6,5,3,2,15,16,2,6,5,5,4,3,4,13,4,3,3,3,11,10,13,2,7,8
"16",1,2,0,3,8,5,4,4,2,1,16,9,1,2,5,0,1,13,2,2,19,3,0,3,1,1,10,0,1,4,1,4,2,2,8,1,1,3,1,5,1,4,0,1,3
"17",0,3,1,1,5,5,3,1,2,6,6,7,4,4,3,1,0,9,0,1,9,4,1,3,1,5,4,0,1,0,3,1,1,1,5,1,3,1,0,1,1,2,0,0,4
"18",5,4,4,21,26,23,23,5,10,31,40,64,12,17,31,13,9,0,12,12,124,10,9,8,8,22,33,2,4,8,17,11,5,13,42,11,11,10,5,15,15,29,1,7,9
"19",2,5,2,6,17,9,11,3,4,7,13,12,3,4,2,2,0,12,0,5,38,2,0,4,1,5,6,1,1,2,6,4,3,3,9,1,4,4,1,7,6,7,0,4,5
"20",1,2,0,7,13,17,9,1,1,7,15,10,15,15,9,2,1,12,5,0,44,6,4,7,1,2,14,8,13,5,6,4,3,2,8,1,12,3,2,8,9,10,3,7,4
"21",9,27,9,59,113,57,69,17,22,90,99,128,57,62,54,19,9,124,38,44,0,25,10,23,14,67,163,12,44,28,40,36,15,28,97,13,38,21,16,56,63,96,10,30,25
"22",1,3,1,2,18,6,7,1,4,9,16,6,4,6,6,3,4,10,2,6,25,0,6,3,1,6,14,1,4,1,5,3,3,8,7,2,4,2,3,5,8,9,0,4,2
"23",0,2,0,1,7,6,4,0,2,2,6,1,2,5,5,0,1,9,0,4,10,6,0,2,1,2,4,1,4,1,1,1,0,0,1,0,0,1,1,1,0,4,1,0,1
"24",2,3,2,7,13,10,11,2,3,3,11,8,5,8,3,3,3,8,4,7,23,3,2,0,0,7,11,2,2,4,5,3,4,5,7,2,4,2,0,5,5,6,1,3,2
"25",0,2,0,3,5,5,1,0,0,4,3,4,4,2,2,1,1,8,1,1,14,1,1,0,0,5,6,1,0,3,3,5,1,1,4,1,3,3,2,2,4,5,1,1,4
"26",0,4,2,5,16,12,14,5,4,19,15,25,9,7,15,1,5,22,5,2,67,6,2,7,5,0,14,2,3,2,7,8,3,9,18,3,5,3,6,12,10,18,2,1,14
"27",4,8,2,15,24,31,24,7,8,22,34,22,18,21,16,10,4,33,6,14,163,14,4,11,6,14,0,8,14,8,12,6,6,7,17,6,14,9,10,21,22,23,5,9,6
"28",0,0,0,4,7,7,3,1,0,3,7,3,6,8,2,0,0,2,1,8,12,1,1,2,1,2,8,0,5,0,1,0,0,2,3,1,5,1,2,2,4,3,3,1,3
"29",0,3,1,6,16,8,5,1,2,12,13,7,9,16,6,1,1,4,1,13,44,4,4,2,0,3,14,5,0,2,2,4,2,0,5,2,14,4,3,8,5,8,1,4,1
