"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"2",0,0,0,5,0,1,2,0,0,2,3,4,3,3,3,0,0,3,1,0,13,1,1,0,0,3,4,1,1,0,2,1,1,1,2,0,1,0,0,5,1,4,1,0,3
"3",0,0,0,0,1,1,1,0,0,2,2,2,0,0,0,0,0,2,2,0,4,0,0,1,1,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1
"4",0,5,0,0,16,10,8,4,1,13,16,15,3,7,4,3,1,9,2,3,56,3,1,1,3,8,9,2,1,3,3,1,3,1,5,2,2,0,0,8,3,13,0,2,3
"5",0,0,1,16,0,19,25,4,4,18,31,24,9,15,6,5,2,27,13,4,63,6,2,10,5,8,24,2,7,5,5,4,3,6,13,5,10,4,1,11,6,13,1,5,4
"6",0,1,1,10,19,0,18,4,3,11,22,14,5,8,4,5,3,13,5,1,41,1,0,3,3,7,14,2,5,5,3,4,5,3,6,1,7,0,2,6,5,9,2,0,2
"7",0,2,1,8,25,18,0,1,0,6,17,9,8,15,5,1,2,10,9,5,47,3,2,8,4,10,18,2,5,2,3,1,2,4,3,2,4,1,1,10,4,12,1,2,1
"8",0,0,0,4,4,4,1,0,2,4,5,11,1,2,4,3,0,6,0,1,26,0,1,2,1,1,6,0,1,3,2,3,2,2,3,1,4,1,1,4,3,3,1,3,2
"9",0,0,0,1,4,3,0,2,0,2,3,7,3,1,1,0,0,5,2,0,8,0,0,0,0,2,0,0,1,0,1,1,1,1,2,1,2,0,2,1,1,1,0,0,1
"10",1,2,2,13,18,11,6,4,2,0,14,20,5,6,9,6,5,21,5,2,52,3,0,3,2,10,10,1,1,5,5,4,2,1,13,1,4,2,0,5,4,9,0,3,8
"11",2,3,2,16,31,22,17,5,3,14,0,28,13,11,16,6,3,25,4,6,72,3,5,10,1,9,15,0,8,8,4,3,4,3,15,2,6,1,3,12,11,10,5,3,6
"12",1,4,2,15,24,14,9,11,7,20,28,0,6,8,26,6,3,47,10,4,85,9,5,8,7,14,25,1,4,10,6,9,1,7,20,3,5,5,4,13,7,22,0,8,10
"13",0,3,0,3,9,5,8,1,3,5,13,6,0,8,8,0,1,9,1,5,39,1,1,3,0,3,10,2,4,3,3,0,3,2,8,1,4,1,2,4,5,6,1,1,1
"14",0,3,0,7,15,8,15,2,1,6,11,8,8,0,9,1,2,11,5,8,50,5,2,5,1,11,19,5,12,9,4,6,2,2,4,0,8,2,1,8,7,6,3,4,1
"15",0,3,0,4,6,4,5,4,1,9,16,26,8,9,0,2,5,21,3,5,31,4,1,1,1,8,11,1,3,2,1,2,0,2,10,0,5,1,0,4,4,8,0,2,5
"16",0,0,0,3,5,5,1,3,0,6,6,6,0,1,2,0,0,4,0,1,14,0,0,0,1,0,1,0,2,1,0,0,0,1,0,0,3,0,0,1,1,1,0,1,1
"17",0,0,0,1,2,3,2,0,0,5,3,3,1,2,5,0,0,5,0,2,14,1,0,0,1,2,3,0,1,1,0,0,0,0,4,0,3,0,0,1,2,2,0,1,2
"18",1,3,2,9,27,13,10,6,5,21,25,47,9,11,21,4,5,0,9,5,107,7,6,9,7,15,34,3,6,11,15,8,3,5,25,4,10,5,4,12,9,14,2,3,11
"19",0,1,2,2,13,5,9,0,2,5,4,10,1,5,3,0,0,9,0,3,26,3,1,5,3,2,7,0,1,1,3,2,0,3,3,2,2,0,3,7,4,3,0,3,3
"20",0,0,0,3,4,1,5,1,0,2,6,4,5,8,5,1,2,5,3,0,19,3,2,2,3,2,9,1,5,1,0,0,0,0,2,0,9,1,1,1,3,3,0,2,0
"21",4,13,4,56,63,41,47,26,8,52,72,85,39,50,31,14,14,107,26,19,0,17,14,17,14,36,131,12,26,21,37,37,12,12,98,11,34,13,14,49,47,62,13,29,34
"22",1,1,0,3,6,1,3,0,0,3,3,9,1,5,4,0,1,7,3,3,17,0,3,0,1,4,8,2,1,1,2,1,1,2,6,0,3,1,2,3,3,5,0,2,2
"23",0,1,0,1,2,0,2,1,0,0,5,5,1,2,1,0,0,6,1,2,14,3,0,1,0,2,6,0,1,4,1,0,0,0,3,0,2,2,1,2,2,2,0,0,1
"24",0,0,1,1,10,3,8,2,0,3,10,8,3,5,1,0,0,9,5,2,17,0,1,0,4,6,6,1,4,2,3,1,3,1,4,2,3,4,1,6,3,5,1,1,0
"25",0,0,1,3,5,3,4,1,0,2,1,7,0,1,1,1,1,7,3,3,14,1,0,4,0,4,5,1,2,0,3,1,0,0,6,2,2,1,0,2,1,4,0,1,4
"26",0,3,1,8,8,7,10,1,2,10,9,14,3,11,8,0,2,15,2,2,36,4,2,6,4,0,12,2,5,2,7,6,1,2,12,3,5,5,4,8,7,7,1,4,3
"27",2,4,0,9,24,14,18,6,0,10,15,25,10,19,11,1,3,34,7,9,131,8,6,6,5,12,0,3,9,6,10,7,4,7,20,3,13,3,5,13,14,20,6,6,3
"28",0,1,0,2,2,2,2,0,0,1,0,1,2,5,1,0,0,3,0,1,12,2,0,1,1,2,3,0,2,2,2,0,1,1,1,0,3,0,1,0,0,3,0,0,0
"29",0,1,0,1,7,5,5,1,1,1,8,4,4,12,3,2,1,6,1,5,26,1,1,4,2,5,9,2,0,6,2,0,1,1,8,2,8,2,1,5,8,2,2,2,0
"30",0,0,0,3,5,5,2,3,0,5,8,10,3,9,2,1,1,11,1,1,21,1,4,2,0,2,6,2,6,0,2,0,2,0,4,2,4,1,1,3,2,6,2,1,1
"31",2,2,1,3,5,3,3,2,1,5,4,6,3,4,1,0,0,15,3,0,37,2,1,3,3,7,10,2,2,2,0,5,1,3,11,2,6,3,6,6,2,8,1,0,3
