"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,0,0,1,1,0,1,0,0,0,1,3,0,0,1,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",0,0,0,1,2,0,0,1,0,2,2,1,0,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"4",1,1,0,0,8,5,6,1,4,7,5,12,4,6,5,0,0,17,3,2,54,1,4,3,0,4,6,2,2,3,4,2,1,0,10,1,2,2,1,3,3,6,0,2,5
"5",1,2,1,8,0,18,16,2,3,7,18,11,3,7,2,4,0,9,0,6,39,3,4,5,3,9,9,2,2,4,3,5,1,3,4,3,2,1,1,4,3,5,0,4,5
"6",0,0,0,5,18,0,8,1,1,8,6,12,1,6,4,1,0,12,0,2,33,1,1,2,2,8,7,0,0,5,4,5,1,3,4,2,3,1,1,1,2,5,0,1,4
"7",1,0,0,6,16,8,0,0,2,7,4,6,3,7,2,1,0,6,1,1,34,1,1,4,0,0,9,2,1,2,0,3,0,0,3,2,3,1,0,5,1,2,0,0,1
"8",0,1,0,1,2,1,0,0,1,3,3,2,0,1,1,0,0,2,0,0,8,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,2,0,0,1
"9",0,0,0,4,3,1,2,1,0,2,4,4,1,0,2,0,0,5,2,0,7,1,1,0,1,1,2,2,0,0,1,2,0,2,1,0,1,0,0,2,1,0,1,0,1
"10",0,2,0,7,7,8,7,3,2,0,8,16,5,1,5,2,0,21,1,3,41,0,1,1,2,4,6,0,1,3,7,5,1,2,10,3,3,2,2,7,3,7,1,2,4
"11",1,2,0,5,18,6,4,3,4,8,0,19,5,9,5,1,0,9,5,4,42,2,2,5,3,6,10,2,2,5,2,4,1,3,6,4,3,1,1,4,3,7,1,3,4
"12",3,1,0,12,11,12,6,2,4,16,19,0,5,8,6,3,1,36,1,1,72,2,1,4,3,13,17,1,2,10,8,10,1,5,14,3,5,2,3,10,4,13,0,4,10
"13",0,0,0,4,3,1,3,0,1,5,5,5,0,4,2,0,0,5,0,1,18,1,1,1,0,1,3,0,1,2,1,2,0,2,2,1,0,1,3,4,2,3,1,0,1
"14",0,1,0,6,7,6,7,1,0,1,9,8,4,0,1,1,0,7,0,2,27,3,0,1,0,3,6,0,4,2,0,1,0,1,8,1,5,2,1,3,4,3,0,1,4
