"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,11,3,15,20,9,12,5,6,15,16,13,8,7,3,4,3,11,2,8,21,1,2,3,2,4,16,0,2,3,3,1,2,2,4,3,9,2,0,5,2,3,0,1,1
"2",11,0,6,67,93,47,44,16,14,43,74,65,22,16,18,12,4,47,19,20,76,6,2,18,10,13,31,9,14,9,12,6,6,4,19,9,14,5,6,19,9,13,2,9,14
"3",3,6,0,8,26,13,17,7,15,9,23,16,11,7,7,6,2,11,9,4,21,8,2,9,3,7,15,2,3,3,3,1,4,3,7,4,8,3,2,4,4,6,1,3,4
"4",15,67,8,0,199,102,89,33,36,113,181,111,53,36,56,27,15,109,35,31,158,16,14,41,15,37,93,10,28,23,29,20,21,12,45,16,27,14,13,42,28,66,4,30,20
"5",20,93,26,199,0,325,294,48,80,169,521,261,145,119,132,60,39,237,94,96,350,32,29,117,45,103,217,41,97,64,59,25,42,54,78,34,105,50,39,113,65,142,18,78,53
"6",9,47,13,102,325,0,190,25,36,103,300,160,67,74,79,34,25,152,51,71,186,25,22,49,25,58,121,19,60,41,32,23,24,27,50,20,46,28,27,62,40,93,13,35,20
"7",12,44,17,89,294,190,0,24,44,83,222,135,88,73,76,30,23,167,49,67,212,25,9,65,29,68,140,23,64,46,32,22,24,29,51,21,66,22,33,64,49,73,11,48,23
"8",5,16,7,33,48,25,24,0,20,34,55,63,20,17,28,7,6,44,12,17,79,8,3,20,8,18,26,6,6,8,20,8,11,6,16,5,13,4,8,14,14,23,3,10,12
"9",6,14,15,36,80,36,44,20,0,31,66,62,22,18,19,11,4,46,29,13,71,9,3,28,14,24,43,2,14,10,10,9,10,8,18,12,18,8,12,12,12,25,3,6,18
"10",15,43,9,113,169,103,83,34,31,0,205,216,52,41,66,23,24,201,35,48,269,24,10,40,25,53,99,6,44,34,60,23,9,19,94,10,60,18,23,46,32,83,10,29,21
"11",16,74,23,181,521,300,222,55,66,205,0,302,138,132,168,54,55,305,72,120,365,51,28,100,51,88,202,31,91,66,72,41,41,52,119,32,107,42,41,124,71,162,13,78,65
"12",13,65,16,111,261,160,135,63,62,216,302,0,96,79,175,71,37,466,69,87,539,36,20,77,52,118,177,24,70,55,130,54,32,44,214,31,97,38,31,98,55,161,8,55,87
"13",8,22,11,53,145,67,88,20,22,52,138,96,0,63,67,19,18,87,21,60,132,14,16,22,11,36,82,14,49,21,19,8,9,20,28,9,38,19,19,34,33,43,10,28,17
"14",7,16,7,36,119,74,73,17,18,41,132,79,63,0,50,16,19,100,20,71,120,18,8,31,14,36,86,29,61,37,19,16,15,23,31,7,54,19,22,41,30,56,4,39,16
"15",3,18,7,56,132,79,76,28,19,66,168,175,67,50,0,19,24,168,21,50,217,21,14,22,19,47,71,13,40,24,54,19,9,19,90,16,54,20,15,47,36,64,7,32,41
"16",4,12,6,27,60,34,30,7,11,23,54,71,19,16,19,0,6,54,18,10,71,13,4,11,12,17,35,4,8,3,22,7,8,9,34,5,10,10,5,22,8,25,0,10,22
"17",3,4,2,15,39,25,23,6,4,24,55,37,18,19,24,6,0,35,9,17,37,11,6,8,9,14,28,7,9,3,9,8,5,7,18,3,15,7,10,11,7,14,2,13,8
"18",11,47,11,109,237,152,167,44,46,201,305,466,87,100,168,54,35,0,59,98,536,25,24,89,52,104,201,21,78,60,112,58,26,45,190,28,109,31,36,97,64,127,15,65,96
"19",2,19,9,35,94,51,49,12,29,35,72,69,21,20,21,18,9,59,0,13,100,10,5,51,28,25,58,6,16,17,19,10,13,19,29,15,20,11,9,24,13,30,7,11,26
"20",8,20,4,31,96,71,67,17,13,48,120,87,60,71,50,10,17,98,13,0,212,20,13,24,16,38,103,37,70,34,31,9,14,23,42,17,68,18,28,36,50,30,10,32,18
"21",21,76,21,158,350,186,212,79,71,269,365,539,132,120,217,71,37,536,100,212,0,50,35,107,72,157,320,44,96,76,151,69,32,55,239,46,160,54,48,129,100,181,27,90,108
"22",1,6,8,16,32,25,25,8,9,24,51,36,14,18,21,13,11,25,10,20,50,0,8,11,5,18,28,5,12,7,16,8,4,7,14,6,18,8,6,19,6,14,3,14,5
"23",2,2,2,14,29,22,9,3,3,10,28,20,16,8,14,4,6,24,5,13,35,8,0,6,4,13,33,5,8,3,8,3,3,3,7,4,8,2,6,11,12,8,4,11,7
"24",3,18,9,41,117,49,65,20,28,40,100,77,22,31,22,11,8,89,51,24,107,11,6,0,23,38,74,12,25,23,18,14,31,19,32,18,39,16,15,38,27,39,6,24,18
"25",2,10,3,15,45,25,29,8,14,25,51,52,11,14,19,12,9,52,28,16,72,5,4,23,0,23,35,4,13,16,19,6,6,10,23,11,26,11,6,19,18,22,2,11,28
"26",4,13,7,37,103,58,68,18,24,53,88,118,36,36,47,17,14,104,25,38,157,18,13,38,23,0,60,8,34,30,49,19,16,23,45,11,41,15,21,45,34,53,2,29,26
"27",16,31,15,93,217,121,140,26,43,99,202,177,82,86,71,35,28,201,58,103,320,28,33,74,35,60,0,44,76,65,65,28,30,49,82,31,111,35,40,86,76,106,20,68,33
"28",0,9,2,10,41,19,23,6,2,6,31,24,14,29,13,4,7,21,6,37,44,5,5,12,4,8,44,0,41,12,6,2,5,9,11,2,26,5,13,9,13,13,4,16,8
"29",2,14,3,28,97,60,64,6,14,44,91,70,49,61,40,8,9,78,16,70,96,12,8,25,13,34,76,41,0,36,15,4,6,23,38,4,87,9,29,31,47,38,9,38,11
"30",3,9,3,23,64,41,46,8,10,34,66,55,21,37,24,3,3,60,17,34,76,7,3,23,16,30,65,12,36,0,19,6,10,14,21,5,45,10,31,25,42,29,9,27,14
"31",3,12,3,29,59,32,32,20,10,60,72,130,19,19,54,22,9,112,19,31,151,16,8,18,19,49,65,6,15,19,0,23,14,13,73,15,36,16,13,45,23,60,4,18,30
"32",1,6,1,20,25,23,22,8,9,23,41,54,8,16,19,7,8,58,10,9,69,8,3,14,6,19,28,2,4,6,23,0,11,7,32,12,15,8,9,16,8,25,1,7,14
"33",2,6,4,21,42,24,24,11,10,9,41,32,9,15,9,8,5,26,13,14,32,4,3,31,6,16,30,5,6,10,14,11,0,13,13,15,13,11,8,16,18,19,2,11,9
"34",2,4,3,12,54,27,29,6,8,19,52,44,20,23,19,9,7,45,19,23,55,7,3,19,10,23,49,9,23,14,13,7,13,0,14,4,26,13,16,30,24,41,4,20,8
"35",4,19,7,45,78,50,51,16,18,94,119,214,28,31,90,34,18,190,29,42,239,14,7,32,23,45,82,11,38,21,73,32,13,14,0,21,48,26,18,62,20,92,6,21,46
"36",3,9,4,16,34,20,21,5,12,10,32,31,9,7,16,5,3,28,15,17,46,6,4,18,11,11,31,2,4,5,15,12,15,4,21,0,14,19,5,19,7,21,1,12,8
"37",9,14,8,27,105,46,66,13,18,60,107,97,38,54,54,10,15,109,20,68,160,18,8,39,26,41,111,26,87,45,36,15,13,26,48,14,0,20,45,43,59,75,10,50,20
"38",2,5,3,14,50,28,22,4,8,18,42,38,19,19,20,10,7,31,11,18,54,8,2,16,11,15,35,5,9,10,16,8,11,13,26,19,20,0,9,41,18,35,5,16,5
"39",0,6,2,13,39,27,33,8,12,23,41,31,19,22,15,5,10,36,9,28,48,6,6,15,6,21,40,13,29,31,13,9,8,16,18,5,45,9,0,19,35,28,15,30,7
"40",5,19,4,42,113,62,64,14,12,46,124,98,34,41,47,22,11,97,24,36,129,19,11,38,19,45,86,9,31,25,45,16,16,30,62,19,43,41,19,0,30,88,3,38,20
"41",2,9,4,28,65,40,49,14,12,32,71,55,33,30,36,8,7,64,13,50,100,6,12,27,18,34,76,13,47,42,23,8,18,24,20,7,59,18,35,30,0,54,17,38,10
"42",3,13,6,66,142,93,73,23,25,83,162,161,43,56,64,25,14,127,30,30,181,14,8,39,22,53,106,13,38,29,60,25,19,41,92,21,75,35,28,88,54,0,10,40,29
"43",0,2,1,4,18,13,11,3,3,10,13,8,10,4,7,0,2,15,7,10,27,3,4,6,2,2,20,4,9,9,4,1,2,4,6,1,10,5,15,3,17,10,0,11,0
"44",1,9,3,30,78,35,48,10,6,29,78,55,28,39,32,10,13,65,11,32,90,14,11,24,11,29,68,16,38,27,18,7,11,20,21,12,50,16,30,38,38,40,11,0,15
"45",1,14,4,20,53,20,23,12,18,21,65,87,17,16,41,22,8,96,26,18,108,5,7,18,28,26,33,8,11,14,30,14,9,8,46,8,20,5,7,20,10,29,0,15,0
