"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,7,0,5,7,4,3,0,2,4,5,4,1,0,1,1,0,5,1,0,12,0,0,2,1,1,2,1,1,1,1,1,0,0,2,2,1,0,0,0,1,0,1,0,2
"2",7,0,2,18,31,18,15,4,4,12,19,13,5,10,2,4,2,10,2,5,39,6,2,6,0,8,13,1,3,2,1,2,2,1,7,3,5,5,0,7,3,3,1,3,1
"3",0,2,0,5,11,4,2,3,6,5,10,2,1,2,2,4,0,4,2,1,15,2,1,4,1,4,7,0,0,2,2,0,2,1,4,2,3,2,1,1,0,4,0,3,1
"4",5,18,5,0,47,16,32,6,12,40,45,39,14,18,15,9,4,36,15,11,119,4,5,15,5,12,35,3,6,10,10,2,6,4,25,4,8,9,4,15,9,21,1,13,7
"5",7,31,11,47,0,72,61,19,27,45,120,52,44,27,26,20,16,52,24,29,149,17,8,36,16,26,58,8,19,15,22,10,11,10,32,8,22,13,12,24,24,30,6,20,12
"6",4,18,4,16,72,0,49,13,8,36,66,38,25,20,19,12,8,30,9,13,106,16,4,13,4,22,49,5,8,14,10,8,5,6,22,4,13,9,6,21,11,17,7,12,3
"7",3,15,2,32,61,49,0,9,19,32,63,39,27,30,17,6,6,38,14,21,111,12,3,21,5,18,44,7,15,18,10,8,7,6,31,7,15,14,12,17,19,22,4,13,12
"8",0,4,3,6,19,13,9,0,10,19,26,14,4,5,4,4,2,7,8,5,44,4,3,11,2,10,12,0,0,4,3,2,1,4,10,3,3,3,0,6,6,7,0,5,0
"9",2,4,6,12,27,8,19,10,0,14,15,14,6,6,5,8,3,7,7,0,45,3,2,9,2,6,17,1,3,3,3,2,2,1,8,3,3,4,1,10,2,5,1,3,2
"10",4,12,5,40,45,36,32,19,14,0,64,64,12,15,20,10,9,52,12,13,140,9,9,26,6,19,35,4,9,22,17,7,6,7,48,8,13,8,6,15,10,27,3,13,15
"11",5,19,10,45,120,66,63,26,15,64,0,57,28,35,35,21,11,68,18,20,165,24,6,28,10,29,63,6,20,21,22,10,8,11,41,9,20,13,11,27,23,36,4,22,16
"12",4,13,2,39,52,38,39,14,14,64,57,0,21,29,35,20,18,123,11,16,213,10,7,11,14,24,46,7,11,21,23,11,9,8,59,9,25,7,10,28,18,34,3,12,13
"13",1,5,1,14,44,25,27,4,6,12,28,21,0,25,16,6,5,21,3,17,79,11,3,10,7,14,32,1,13,8,10,1,5,4,13,2,10,6,9,11,15,18,3,9,4
"14",0,10,2,18,27,20,30,5,6,15,35,29,25,0,12,7,5,21,7,16,105,6,2,11,3,17,36,4,12,14,10,5,7,8,22,6,9,6,7,15,11,16,5,10,3
