"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2",0,0,0,3,0,0,1,0,0,1,1,2,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4",0,3,0,0,5,4,2,2,0,7,6,7,1,2,1,0,0,4,3,0,19,0,0,0,2,2,5,1,0,0,1,2,0,2,4,2,1,1,1,1,1,5,0,0,2
"5",0,0,0,5,0,10,6,1,1,4,12,7,2,3,7,0,0,10,2,2,24,3,1,6,0,4,2,1,1,4,1,0,0,0,2,1,0,1,0,3,0,3,0,0,1
"6",0,0,0,4,10,0,5,0,1,2,8,8,2,5,3,0,1,9,2,4,17,1,1,1,2,5,6,0,0,1,2,1,0,2,3,0,2,0,1,3,3,3,1,1,1
"7",0,1,0,2,6,5,0,0,0,3,9,7,3,2,1,0,0,8,1,1,21,2,0,4,1,2,3,0,2,1,0,1,0,1,3,0,0,1,0,1,1,2,1,3,1
"8",0,0,0,2,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,8,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0
"9",0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,4,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,0,0,0
"10",0,1,0,7,4,2,3,1,0,0,8,9,0,2,0,0,0,4,4,0,24,1,1,0,0,4,5,0,2,0,2,0,0,0,4,0,2,0,0,3,0,5,0,3,2
"11",1,1,0,6,12,8,9,0,0,8,0,11,3,4,3,0,1,14,4,2,31,3,1,2,1,9,7,1,1,3,4,2,0,1,9,3,4,2,3,2,2,9,0,6,4
"12",0,2,0,7,7,8,7,1,0,9,11,0,2,4,4,0,2,21,3,3,49,4,1,0,2,9,11,0,1,3,8,0,0,2,7,2,2,5,1,3,3,5,0,5,4
"13",0,0,0,1,2,2,3,1,0,0,3,2,0,0,0,0,0,2,0,4,12,3,0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,0,1,2,2,1,1,0,0
"14",1,1,0,2,3,5,2,1,2,2,4,4,0,0,1,0,0,5,3,3,19,0,1,0,1,3,3,0,0,2,2,2,0,3,2,1,0,0,0,0,2,0,0,1,0
"15",0,0,0,1,7,3,1,0,0,0,3,4,0,1,0,0,1,6,3,0,7,1,1,2,0,1,2,1,0,1,2,1,0,0,2,0,0,1,0,1,0,1,0,1,1
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0,1,1
"18",1,1,0,4,10,9,8,1,1,4,14,21,2,5,6,0,1,0,2,3,51,3,1,5,1,10,12,3,1,5,8,2,0,2,6,2,3,4,2,2,2,4,0,1,8
"19",0,0,0,3,2,2,1,0,1,4,4,3,0,3,3,0,0,2,0,0,10,0,1,0,0,2,1,1,0,0,1,2,0,2,2,1,2,0,0,1,0,3,0,1,1
"20",0,0,0,0,2,4,1,0,1,0,2,3,4,3,0,0,2,3,0,0,13,0,1,0,0,1,1,0,0,1,1,1,0,1,2,0,3,0,1,3,2,1,1,2,0
"21",3,6,0,19,24,17,21,8,4,24,31,49,12,19,7,0,3,51,10,13,0,6,9,8,6,26,49,1,7,6,15,8,3,6,40,7,12,14,10,18,17,28,4,12,12
"22",0,0,0,0,3,1,2,1,0,1,3,4,3,0,1,0,0,3,0,0,6,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,4,0,0,0
"23",0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,9,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"24",0,0,0,0,6,1,4,0,0,0,2,0,0,0,2,0,0,5,0,0,8,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"25",0,0,0,2,0,2,1,1,0,0,1,2,0,1,0,0,0,1,0,0,6,0,0,0,0,3,2,0,0,1,1,2,0,1,2,1,0,0,0,0,1,0,0,0,1
"26",1,0,0,2,4,5,2,0,0,4,9,9,1,3,1,0,0,10,2,1,26,2,2,2,3,0,6,0,0,2,11,3,0,2,5,1,3,1,1,1,3,0,0,2,3
"27",0,0,0,5,2,6,3,1,3,5,7,11,2,3,2,0,0,12,1,1,49,0,0,0,2,6,0,1,0,1,2,1,0,2,10,1,0,2,1,1,2,6,0,0,1
"28",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"29",0,0,0,0,1,0,2,1,0,2,1,1,0,0,0,1,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0
"30",1,0,0,0,4,1,1,0,0,0,3,3,1,2,1,0,0,5,0,1,6,0,0,0,1,2,1,1,0,0,2,0,0,0,1,1,0,0,1,0,1,1,0,0,0
