"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,10,4,6,16,5,9,6,3,8,14,9,4,4,2,3,1,5,0,4,23,3,1,1,1,6,6,1,2,2,6,2,4,2,10,4,1,0,1,4,3,5,1,3,2
"2",10,0,4,46,66,32,30,10,17,26,48,29,20,22,10,7,4,17,16,20,59,12,7,14,14,17,30,7,9,7,6,3,0,8,10,4,9,6,7,11,11,16,2,4,11
"3",4,4,0,11,21,9,15,7,11,8,19,3,5,8,12,5,2,8,9,3,22,4,1,16,2,12,7,2,6,1,5,2,5,3,7,5,3,1,1,3,3,5,2,3,4
"4",6,46,11,0,160,90,83,22,32,78,124,88,35,44,32,23,6,65,31,39,170,15,8,31,20,29,68,16,29,18,16,11,8,23,38,12,37,10,6,43,24,35,9,18,16
"5",16,66,21,160,0,235,237,54,50,112,352,148,103,113,83,40,28,146,71,80,309,39,25,99,39,93,167,31,62,49,46,22,25,45,54,35,69,26,25,71,57,84,27,47,44
"6",5,32,9,90,235,0,170,26,26,91,196,102,64,71,50,19,16,95,30,63,187,27,15,36,22,46,98,11,39,32,22,20,20,23,44,13,38,12,24,48,41,71,20,30,27
"7",9,30,15,83,237,170,0,23,29,73,201,99,73,84,50,21,21,100,29,79,189,29,15,50,22,61,118,21,64,37,26,15,17,28,35,18,56,12,24,45,53,61,15,33,23
"8",6,10,7,22,54,26,23,0,16,33,41,37,11,21,7,10,1,30,15,11,70,7,1,15,7,20,26,2,8,5,10,5,4,6,12,5,11,5,3,17,15,15,1,4,11
"9",3,17,11,32,50,26,29,16,0,20,35,24,12,10,14,10,8,25,27,13,46,6,7,18,8,14,23,4,7,3,8,5,4,8,12,5,8,2,3,11,9,11,2,5,9
"10",8,26,8,78,112,91,73,33,20,0,125,106,43,33,50,14,12,79,27,37,167,20,8,22,12,45,68,7,25,25,29,17,14,13,58,8,39,10,13,31,22,59,11,16,16
"11",14,48,19,124,352,196,201,41,35,125,0,179,97,82,116,39,26,179,57,85,296,39,25,67,28,86,155,21,57,46,47,22,26,47,96,22,70,25,23,84,51,96,14,46,37
"12",9,29,3,88,148,102,99,37,24,106,179,0,50,38,90,40,15,198,33,43,313,25,15,30,25,47,102,8,26,29,45,36,17,25,121,17,49,18,8,55,36,70,11,26,38
"13",4,20,5,35,103,64,73,11,12,43,97,50,0,53,37,10,11,46,14,53,87,13,16,22,12,33,63,15,38,23,13,9,9,17,28,7,30,9,16,26,32,33,9,19,8
"14",4,22,8,44,113,71,84,21,10,33,82,38,53,0,39,14,11,53,15,75,110,19,11,25,7,31,80,28,59,33,24,5,11,27,23,10,38,14,19,33,35,48,21,27,18
"15",2,10,12,32,83,50,50,7,14,50,116,90,37,39,0,17,17,73,19,34,116,17,8,28,9,28,56,13,27,22,19,11,7,14,53,9,26,10,9,25,26,31,10,21,19
"16",3,7,5,23,40,19,21,10,10,14,39,40,10,14,17,0,1,26,9,9,54,4,3,8,6,17,25,2,8,4,5,8,6,3,27,5,9,6,2,9,7,15,2,8,9
"17",1,4,2,6,28,16,21,1,8,12,26,15,11,11,17,1,0,21,3,9,34,9,2,9,2,14,17,2,9,8,6,5,3,5,11,2,7,3,4,4,7,14,2,4,3
"18",5,17,8,65,146,95,100,30,25,79,179,198,46,53,73,26,21,0,29,45,292,27,15,38,24,56,124,21,43,37,38,27,14,25,100,18,61,13,22,55,45,87,14,34,34
"19",0,16,9,31,71,30,29,15,27,27,57,33,14,15,19,9,3,29,0,16,58,10,4,27,14,17,26,5,8,7,15,1,7,5,9,11,15,7,5,13,13,22,2,12,13
"20",4,20,3,39,80,63,79,11,13,37,85,43,53,75,34,9,9,45,16,0,117,13,15,21,14,25,72,26,63,29,18,10,9,16,29,6,44,12,14,28,36,30,14,17,13
"21",23,59,22,170,309,187,189,70,46,167,296,313,87,110,116,54,34,292,58,117,0,48,25,79,54,116,317,27,73,54,86,63,29,50,186,44,112,46,40,125,108,149,25,57,73
"22",3,12,4,15,39,27,29,7,6,20,39,25,13,19,17,4,9,27,10,13,48,0,2,9,6,20,24,3,8,7,9,3,5,12,10,4,12,7,3,12,16,18,2,8,7
"23",1,7,1,8,25,15,15,1,7,8,25,15,16,11,8,3,2,15,4,15,25,2,0,4,2,9,22,4,6,9,5,4,2,2,7,2,11,3,4,6,9,8,2,5,6
"24",1,14,16,31,99,36,50,15,18,22,67,30,22,25,28,8,9,38,27,21,79,9,4,0,14,34,53,7,24,20,13,8,27,13,24,13,21,10,13,27,21,29,14,17,17
"25",1,14,2,20,39,22,22,7,8,12,28,25,12,7,9,6,2,24,14,14,54,6,2,14,0,15,23,5,10,9,8,8,5,4,16,9,9,2,8,11,10,11,2,10,15
"26",6,17,12,29,93,46,61,20,14,45,86,47,33,31,28,17,14,56,17,25,116,20,9,34,15,0,51,9,21,18,26,13,12,25,40,16,35,17,10,30,29,25,8,16,26
"27",6,30,7,68,167,98,118,26,23,68,155,102,63,80,56,25,17,124,26,72,317,24,22,53,23,51,0,32,63,40,31,19,20,38,76,18,78,27,40,52,73,84,22,51,32
"28",1,7,2,16,31,11,21,2,4,7,21,8,15,28,13,2,2,21,5,26,27,3,4,7,5,9,32,0,31,7,4,3,5,11,11,4,30,8,6,8,15,10,5,16,3
"29",2,9,6,29,62,39,64,8,7,25,57,26,38,59,27,8,9,43,8,63,73,8,6,24,10,21,63,31,0,24,14,8,8,19,20,4,73,11,20,19,45,39,11,30,10
"30",2,7,1,18,49,32,37,5,3,25,46,29,23,33,22,4,8,37,7,29,54,7,9,20,9,18,40,7,24,0,7,5,7,5,21,7,28,4,19,18,30,17,16,13,16
"31",6,6,5,16,46,22,26,10,8,29,47,45,13,24,19,5,6,38,15,18,86,9,5,13,8,26,31,4,14,7,0,26,5,13,49,11,18,13,6,26,19,34,6,10,14
