"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,9,0,9,13,9,5,5,3,6,9,6,5,6,4,3,2,5,4,6,19,1,3,2,1,4,2,1,3,0,2,1,0,0,1,2,3,1,2,3,3,2,1,0,2
"2",9,0,6,26,29,23,6,7,13,12,27,13,14,10,8,6,4,14,10,5,47,11,8,8,3,8,11,3,4,5,3,2,3,3,5,2,5,0,1,11,9,11,1,7,1
"3",0,6,0,10,11,7,5,6,11,7,14,8,6,3,5,3,0,5,8,1,16,6,3,4,3,3,5,0,0,1,4,0,3,2,2,2,5,2,1,1,2,6,0,4,2
"4",9,26,10,0,96,58,41,16,28,56,78,63,30,27,18,14,6,72,21,18,181,15,8,24,13,28,62,7,17,21,19,18,6,11,32,11,15,9,9,26,25,39,8,16,13
"5",13,29,11,96,0,128,88,18,21,81,184,77,67,57,41,26,15,83,45,53,206,25,16,31,25,31,99,24,25,31,24,18,11,18,42,16,38,22,18,45,37,55,13,26,19
"6",9,23,7,58,128,0,54,16,19,65,131,59,50,45,36,12,10,50,28,37,136,19,8,17,17,28,57,11,21,19,18,11,6,10,35,7,21,8,14,29,18,43,8,16,15
"7",5,6,5,41,88,54,0,8,13,43,75,32,37,27,22,8,8,39,20,23,137,13,8,27,11,15,54,16,22,14,12,11,5,7,19,6,14,8,7,15,18,28,8,11,10
"8",5,7,6,16,18,16,8,0,11,17,17,13,9,4,13,9,2,11,11,5,48,6,3,4,5,8,11,4,5,3,3,3,1,3,11,3,7,4,4,8,2,11,1,1,2
"9",3,13,11,28,21,19,13,11,0,15,25,18,10,8,6,6,2,16,13,9,43,8,5,10,5,10,13,3,4,4,6,3,3,5,5,3,8,2,2,13,5,5,2,4,1
"10",6,12,7,56,81,65,43,17,15,0,93,87,32,24,33,21,8,72,14,18,172,12,6,10,16,23,51,11,21,10,20,17,10,9,47,9,25,9,11,29,13,45,2,15,15
"11",9,27,14,78,184,131,75,17,25,93,0,110,64,67,60,26,19,96,41,50,224,29,13,31,24,41,80,22,38,26,27,23,10,20,58,16,43,11,18,44,29,64,11,26,26
"12",6,13,8,63,77,59,32,13,18,87,110,0,39,34,50,26,14,172,17,34,235,19,13,16,18,37,79,10,21,28,43,13,7,11,64,13,35,9,12,29,20,65,8,16,40
"13",5,14,6,30,67,50,37,9,10,32,64,39,0,31,23,13,5,36,23,34,108,18,9,14,6,18,38,11,17,17,14,5,7,6,22,11,17,10,13,19,19,37,5,15,7
"14",6,10,3,27,57,45,27,4,8,24,67,34,31,0,16,4,6,43,20,33,103,9,8,19,8,18,42,17,25,20,16,10,5,13,23,10,23,12,12,20,29,29,9,15,10
