"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,3,2,2,3,1,0,4,2,3,1,2,0,0,2,0,0,2,0,0,9,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,3,0,1,0,0,1
"2",3,0,0,5,4,2,2,0,2,2,3,7,2,3,2,1,0,6,1,1,19,0,0,1,0,2,2,2,1,0,1,0,0,1,0,0,0,2,1,6,0,2,0,1,0
"3",2,0,0,1,2,1,1,3,0,2,2,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"4",2,5,1,0,21,5,5,3,2,10,20,10,5,7,6,1,0,11,2,4,41,2,5,1,1,5,9,4,1,1,3,2,0,2,5,1,2,0,1,9,4,9,0,0,2
"5",3,4,2,21,0,17,15,6,5,18,29,16,11,14,12,3,2,15,5,7,74,4,3,8,3,12,21,5,3,5,6,3,2,4,9,3,7,1,4,9,2,8,2,4,3
"6",1,2,1,5,17,0,14,2,4,8,22,11,6,12,7,1,1,13,4,6,34,5,3,5,5,6,8,3,2,8,3,2,0,2,2,4,7,0,1,8,3,7,0,2,2
"7",0,2,1,5,15,14,0,2,2,5,15,9,4,9,5,0,2,8,3,5,35,2,2,3,0,3,8,3,5,3,3,0,0,1,6,2,4,0,2,3,2,6,0,1,0
"8",4,0,3,3,6,2,2,0,3,6,4,6,1,4,1,3,0,8,1,0,21,1,1,0,0,4,3,0,0,2,2,3,0,0,5,2,1,0,1,6,1,4,0,1,5
"9",2,2,0,2,5,4,2,3,0,4,8,1,1,2,4,1,0,5,1,1,13,1,0,2,3,5,7,1,0,2,2,1,1,1,2,4,1,1,1,2,2,2,0,1,2
"10",3,2,2,10,18,8,5,6,4,0,20,19,9,6,5,4,2,9,3,0,42,2,2,1,2,7,10,2,2,5,5,1,3,1,5,3,3,3,1,12,1,8,1,0,4
"11",1,3,2,20,29,22,15,4,8,20,0,25,13,12,18,6,2,22,7,10,80,4,7,7,4,9,18,8,10,5,3,1,2,3,11,1,13,1,4,16,8,16,0,3,2
"12",2,7,2,10,16,11,9,6,1,19,25,0,7,7,15,4,3,35,4,4,86,7,4,3,3,7,13,2,4,4,6,6,0,3,10,5,11,2,5,9,3,12,2,5,11
"13",0,2,0,5,11,6,4,1,1,9,13,7,0,6,5,2,1,4,0,5,38,0,0,1,1,2,6,5,2,1,2,0,1,0,0,0,4,0,1,4,3,4,0,2,2
"14",0,3,0,7,14,12,9,4,2,6,12,7,6,0,7,1,0,3,4,7,46,2,3,2,3,7,13,5,5,7,4,2,1,1,4,0,3,0,2,4,5,11,1,1,2
"15",2,2,0,6,12,7,5,1,4,5,18,15,5,7,0,1,1,9,2,2,30,3,0,5,2,4,4,1,2,0,3,2,0,1,4,0,5,0,0,5,5,3,1,1,0
"16",0,1,2,1,3,1,0,3,1,4,6,4,2,1,1,0,0,2,1,1,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2
"17",0,0,0,0,2,1,2,0,0,2,2,3,1,0,1,0,0,1,0,0,5,1,0,0,2,3,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,2,0
"18",2,6,0,11,15,13,8,8,5,9,22,35,4,3,9,2,1,0,4,8,93,7,5,4,4,9,17,4,4,8,9,7,0,4,11,3,5,2,3,8,3,13,0,1,5
"19",0,1,0,2,5,4,3,1,1,3,7,4,0,4,2,1,0,4,0,0,36,1,0,4,1,4,7,1,1,0,0,2,1,0,4,0,2,0,0,5,0,5,0,0,1
"20",0,1,1,4,7,6,5,0,1,0,10,4,5,7,2,1,0,8,0,0,29,0,1,1,2,4,7,5,3,0,1,1,1,1,3,0,4,0,4,6,2,4,0,0,2
"21",9,19,1,41,74,34,35,21,13,42,80,86,38,46,30,5,5,93,36,29,0,14,16,25,12,37,102,15,22,19,29,24,10,14,63,8,25,15,10,55,32,54,7,13,23
"22",0,0,0,2,4,5,2,1,1,2,4,7,0,2,3,0,1,7,1,0,14,0,2,1,0,8,5,1,1,3,1,2,1,0,4,1,4,0,0,3,2,2,0,2,1
"23",0,0,0,5,3,3,2,1,0,2,7,4,0,3,0,0,0,5,0,1,16,2,0,0,0,1,2,2,1,3,2,0,0,0,2,0,1,0,1,1,3,6,0,0,1
"24",1,1,0,1,8,5,3,0,2,1,7,3,1,2,5,3,0,4,4,1,25,1,0,0,3,3,4,0,1,3,3,2,4,2,4,3,4,1,0,5,1,2,0,1,2
"25",1,0,0,1,3,5,0,0,3,2,4,3,1,3,2,0,2,4,1,2,12,0,0,3,0,2,3,0,0,3,3,2,0,1,8,0,3,1,0,1,0,0,0,1,0
"26",1,2,0,5,12,6,3,4,5,7,9,7,2,7,4,0,3,9,4,4,37,8,1,3,2,0,9,1,2,4,5,3,1,0,6,1,5,2,1,10,5,7,0,3,4
"27",1,2,0,9,21,8,8,3,7,10,18,13,6,13,4,1,1,17,7,7,102,5,2,4,3,9,0,5,7,5,5,7,1,3,9,4,6,3,5,10,7,11,2,4,3
"28",0,2,0,4,5,3,3,0,1,2,8,2,5,5,1,0,0,4,1,5,15,1,2,0,0,1,5,0,7,2,1,2,1,1,0,0,5,0,1,2,3,5,0,1,1
"29",0,1,0,1,3,2,5,0,0,2,10,4,2,5,2,0,0,4,1,3,22,1,1,1,0,2,7,7,0,1,1,0,1,0,4,0,7,0,2,1,5,1,1,0,0
"30",0,0,0,1,5,8,3,2,2,5,5,4,1,7,0,0,0,8,0,0,19,3,3,3,3,4,5,2,1,0,4,2,2,2,6,1,5,2,1,4,2,6,0,0,3
"31",0,1,0,3,6,3,3,2,2,5,3,6,2,4,3,0,1,9,0,1,29,1,2,3,3,5,5,1,1,4,0,7,1,2,10,3,3,1,0,3,1,8,0,1,4
"32",0,0,0,2,3,2,0,3,1,1,1,6,0,2,2,0,0,7,2,1,24,2,0,2,2,3,7,2,0,2,7,0,0,1,7,0,2,0,0,0,1,3,0,1,2
"33",0,0,0,0,2,0,0,0,1,3,2,0,1,1,0,0,0,0,1,1,10,1,0,4,0,1,1,1,1,2,1,0,0,0,2,3,1,1,1,3,0,2,0,1,1
"34",0,1,0,2,4,2,1,0,1,1,3,3,0,1,1,0,0,4,0,1,14,0,0,2,1,0,3,1,0,2,2,1,0,0,7,0,0,0,1,3,1,5,0,0,1
"35",0,0,0,5,9,2,6,5,2,5,11,10,0,4,4,0,1,11,4,3,63,4,2,4,8,6,9,0,4,6,10,7,2,7,0,4,2,2,0,9,4,10,1,2,4
"36",1,0,0,1,3,4,2,2,4,3,1,5,0,0,0,0,0,3,0,0,8,1,0,3,0,1,4,0,0,1,3,0,3,0,4,0,0,1,2,1,0,1,1,1,3
"37",1,0,0,2,7,7,4,1,1,3,13,11,4,3,5,0,1,5,2,4,25,4,1,4,3,5,6,5,7,5,3,2,1,0,2,0,0,0,1,5,4,5,0,1,2
"38",1,2,0,0,1,0,0,0,1,3,1,2,0,0,0,1,0,2,0,0,15,0,0,1,1,2,3,0,0,2,1,0,1,0,2,1,0,0,0,2,0,2,0,0,2
"39",0,1,0,1,4,1,2,1,1,1,4,5,1,2,0,0,0,3,0,4,10,0,1,0,0,1,5,1,2,1,0,0,1,1,0,2,1,0,0,1,1,1,3,1,4
"40",3,6,0,9,9,8,3,6,2,12,16,9,4,4,5,1,1,8,5,6,55,3,1,5,1,10,10,2,1,4,3,0,3,3,9,1,5,2,1,0,4,23,0,1,2
"41",0,0,0,4,2,3,2,1,2,1,8,3,3,5,5,1,1,3,0,2,32,2,3,1,0,5,7,3,5,2,1,1,0,1,4,0,4,0,1,4,0,4,1,1,1
"42",1,2,0,9,8,7,6,4,2,8,16,12,4,11,3,1,0,13,5,4,54,2,6,2,0,7,11,5,1,6,8,3,2,5,10,1,5,2,1,23,4,0,0,3,2
"43",0,0,0,0,2,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,7,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0
"44",0,1,1,0,4,2,1,1,1,0,3,5,2,1,1,0,2,1,0,0,13,2,0,1,1,3,4,1,0,0,1,1,1,0,2,1,1,0,1,1,1,3,0,0,0
"45",1,0,1,2,3,2,0,5,2,4,2,11,2,2,0,2,0,5,1,2,23,1,1,2,0,4,3,1,0,3,4,2,1,1,4,3,2,2,4,2,1,2,0,0,0
