"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,1,0,2,7,3,3,0,1,4,3,7,2,2,6,0,2,4,1,1,10,2,0,2,1,2,2,1,1,2,1,1,1,1,3,0,1,1,0,1,1,1,1,2,2
"2",1,0,0,8,14,10,4,1,3,3,9,4,3,3,1,3,1,5,1,1,18,2,0,2,1,0,5,0,1,2,1,0,1,3,2,0,3,1,0,2,1,3,0,2,1
"3",0,0,0,2,3,2,2,2,0,1,1,2,1,0,0,0,0,4,0,1,6,0,0,0,0,1,2,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"4",2,8,2,0,25,18,13,6,5,16,13,13,7,12,8,0,3,16,3,5,53,4,1,4,2,4,16,0,1,4,3,6,2,5,7,2,8,5,2,9,5,12,3,4,4
"5",7,14,3,25,0,37,32,8,5,20,49,23,17,21,18,1,6,32,7,14,87,10,4,12,7,12,25,1,8,11,6,8,3,5,13,6,8,7,5,9,8,14,5,8,3
"6",3,10,2,18,37,0,30,2,3,17,41,17,9,15,7,1,4,15,3,10,64,6,2,6,6,11,18,2,7,5,6,6,2,3,4,4,8,4,1,10,5,9,0,4,1
"7",3,4,2,13,32,30,0,3,2,9,30,8,12,19,6,4,4,17,3,11,66,2,2,8,2,11,15,4,9,9,5,4,0,7,8,7,10,5,2,8,6,4,2,2,4
"8",0,1,2,6,8,2,3,0,2,10,7,7,3,3,3,0,1,8,2,1,24,1,0,1,2,4,5,0,0,0,0,2,1,2,2,1,0,2,1,4,1,3,1,2,1
"9",1,3,0,5,5,3,2,2,0,10,6,2,3,2,1,1,2,10,4,4,16,1,0,4,4,5,5,0,0,0,3,0,2,4,3,1,4,1,1,9,2,3,0,2,1
"10",4,3,1,16,20,17,9,10,10,0,25,17,8,13,15,0,5,27,2,10,60,5,3,6,4,11,16,2,2,6,7,4,3,1,13,1,7,4,3,7,6,10,2,11,6
"11",3,9,1,13,49,41,30,7,6,25,0,26,16,22,13,6,7,37,5,19,81,9,6,10,6,18,26,5,10,9,11,8,3,4,15,7,16,6,4,14,6,18,4,7,6
"12",7,4,2,13,23,17,8,7,2,17,26,0,9,11,14,3,5,51,3,11,101,6,2,7,5,15,16,2,4,10,11,11,2,9,28,6,7,7,2,7,5,28,3,8,12
"13",2,3,1,7,17,9,12,3,3,8,16,9,0,13,7,0,3,13,3,13,38,3,4,2,2,9,15,5,6,6,1,2,3,5,4,2,5,1,1,4,9,4,5,6,2
"14",2,3,0,12,21,15,19,3,2,13,22,11,13,0,7,2,3,9,2,17,43,1,3,1,1,11,22,9,11,6,1,1,3,3,5,2,11,6,1,3,7,5,3,7,7
"15",6,1,0,8,18,7,6,3,1,15,13,14,7,7,0,0,5,20,7,5,44,3,2,5,2,5,15,2,0,7,7,3,0,3,8,2,6,2,1,4,5,3,3,4,5
"16",0,3,0,0,1,1,4,0,1,0,6,3,0,2,0,0,1,3,0,3,6,0,0,0,0,3,1,0,0,0,0,1,0,1,4,1,2,2,0,0,1,0,0,0,4
"17",2,1,0,3,6,4,4,1,2,5,7,5,3,3,5,1,0,6,2,2,11,2,1,0,1,3,3,1,1,1,0,2,2,1,2,0,2,3,0,3,1,2,2,4,1
"18",4,5,4,16,32,15,17,8,10,27,37,51,13,9,20,3,6,0,9,13,142,8,2,13,7,17,30,1,6,10,9,11,2,6,36,7,9,4,4,16,11,20,4,10,10
