"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,0,1,4,3,3,2,2,1,1,3,7,1,1,3,0,0,3,0,0,5,1,0,1,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,1,2,1
"2",0,0,1,9,10,6,2,3,1,5,9,4,1,3,0,3,1,4,0,0,13,0,1,3,2,1,2,3,0,1,1,0,1,2,3,1,1,0,0,3,4,5,1,0,1
"3",1,1,0,3,3,1,3,1,1,1,6,2,0,0,1,1,0,2,1,0,7,2,1,1,0,0,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"4",4,9,3,0,35,20,8,8,5,16,23,19,7,10,10,2,3,12,4,6,55,4,3,6,3,12,11,2,5,3,7,3,4,3,7,4,1,4,4,13,5,17,1,2,4
"5",3,10,3,35,0,43,26,12,14,23,73,35,14,16,21,6,4,37,4,13,99,7,8,17,7,19,25,5,8,11,12,7,4,3,18,6,5,5,5,16,13,22,2,6,9
"6",3,6,1,20,43,0,21,6,8,11,41,18,13,14,18,5,3,12,4,7,58,8,4,7,5,10,18,6,6,15,6,7,1,5,10,2,0,4,3,12,12,16,4,4,7
"7",2,2,3,8,26,21,0,3,7,14,22,15,13,13,12,6,1,10,4,6,66,5,1,12,2,12,19,3,5,9,4,2,3,3,14,1,3,0,4,6,13,13,4,5,4
"8",2,3,1,8,12,6,3,0,4,8,8,9,5,3,4,1,0,8,0,0,21,2,1,5,2,3,5,2,0,2,0,1,2,2,0,3,2,0,1,6,2,3,1,1,1
"9",1,1,1,5,14,8,7,4,0,5,11,4,1,5,5,1,0,6,3,1,14,2,0,3,4,8,6,2,2,3,1,2,0,1,5,0,2,0,0,3,7,2,1,2,4
"10",1,5,1,16,23,11,14,8,5,0,24,36,3,10,15,3,3,23,5,2,65,4,3,8,8,8,7,1,4,5,11,2,4,2,16,4,5,3,2,11,11,12,3,6,6
"11",3,9,6,23,73,41,22,8,11,24,0,47,15,22,20,8,3,38,11,14,120,9,11,11,8,21,28,6,12,10,11,10,5,4,27,4,11,5,3,15,12,22,3,6,6
"12",7,4,2,19,35,18,15,9,4,36,47,0,10,14,25,7,4,57,7,7,136,9,3,8,8,20,16,2,3,12,17,12,1,6,26,6,10,5,6,10,13,22,3,11,12
